,CRDID,FINRAMember,firmName,IMID,exchangeID,ATSFlag,defaultIMIDFlag
32,79,Y,J.P. MORGAN SECURITIES LLC,BEAR,BZXOP,,
36,79,Y,J.P. MORGAN SECURITIES LLC,BEAR,EDGXOP,,
241,79,Y,J.P. MORGAN SECURITIES LLC,JPMS,BZXOP,,Y
242,79,Y,J.P. MORGAN SECURITIES LLC,JPMS,C2,,Y
243,79,Y,J.P. MORGAN SECURITIES LLC,JPMS,CBOE,,Y
247,79,Y,J.P. MORGAN SECURITIES LLC,JPMS,EDGXOP,,Y
426,249,Y,OPPENHEIMER & CO. INC.,OPPN,CBOE,,
721,361,Y,GOLDMAN SACHS & CO. LLC,GSCA,BZXOP,,
722,361,Y,GOLDMAN SACHS & CO. LLC,GSCA,C2,,
723,361,Y,GOLDMAN SACHS & CO. LLC,GSCA,CBOE,,
724,361,Y,GOLDMAN SACHS & CO. LLC,GSCA,EDGXOP,,
732,361,Y,GOLDMAN SACHS & CO. LLC,GSCE,BZXOP,,
733,361,Y,GOLDMAN SACHS & CO. LLC,GSCE,CBOE,,
741,361,Y,GOLDMAN SACHS & CO. LLC,GSCO,BZXOP,,Y
742,361,Y,GOLDMAN SACHS & CO. LLC,GSCO,C2,,Y
743,361,Y,GOLDMAN SACHS & CO. LLC,GSCO,CBOE,,Y
747,361,Y,GOLDMAN SACHS & CO. LLC,GSCO,EDGXOP,,Y
767,361,Y,GOLDMAN SACHS & CO. LLC,GSCS,BZXOP,,
768,361,Y,GOLDMAN SACHS & CO. LLC,GSCS,C2,,
769,361,Y,GOLDMAN SACHS & CO. LLC,GSCS,CBOE,,
773,361,Y,GOLDMAN SACHS & CO. LLC,GSCS,EDGXOP,,
868,361,Y,GOLDMAN SACHS & CO. LLC,GSPC,BZXOP,,
869,361,Y,GOLDMAN SACHS & CO. LLC,GSPC,C2,,
870,361,Y,GOLDMAN SACHS & CO. LLC,GSPC,CBOE,,
871,361,Y,GOLDMAN SACHS & CO. LLC,GSPC,EDGXOP,,
1093,630,Y,CIBC WORLD MARKETS CORP.,WGCO,CBOE,,
