,CRDID,FINRAMember,firmName,IMID,exchangeID,ATSFlag,defaultIMIDFlag
19309,153585,Y,"SIMPLEX TRADING, LLC",FLOP,BZXOP,,
19310,153585,Y,"SIMPLEX TRADING, LLC",FLOP,EDGXOP,,
19331,153585,Y,"SIMPLEX TRADING, LLC",SGXA,BZXOP,,
19332,153585,Y,"SIMPLEX TRADING, LLC",SGXA,C2,,
19333,153585,Y,"SIMPLEX TRADING, LLC",SGXA,CBOE,,
19334,153585,Y,"SIMPLEX TRADING, LLC",SGXA,EDGXOP,,
19335,153585,Y,"SIMPLEX TRADING, LLC",SGXB,BZXOP,,
19336,153585,Y,"SIMPLEX TRADING, LLC",SGXB,C2,,
19337,153585,Y,"SIMPLEX TRADING, LLC",SGXB,CBOE,,
19338,153585,Y,"SIMPLEX TRADING, LLC",SGXB,EDGXOP,,
19339,153585,Y,"SIMPLEX TRADING, LLC",SGXC,CBOE,,
19340,153585,Y,"SIMPLEX TRADING, LLC",SGXD,CBOE,,
19341,153585,Y,"SIMPLEX TRADING, LLC",SGXE,CBOE,,
19342,153585,Y,"SIMPLEX TRADING, LLC",SGXF,CBOE,,
19344,153585,Y,"SIMPLEX TRADING, LLC",SIMA,BZXOP,,
19345,153585,Y,"SIMPLEX TRADING, LLC",SIMA,C2,,
19346,153585,Y,"SIMPLEX TRADING, LLC",SIMA,CBOE,,
19347,153585,Y,"SIMPLEX TRADING, LLC",SIMA,EDGXOP,,
19363,153585,Y,"SIMPLEX TRADING, LLC",SIMB,BZXOP,,
19364,153585,Y,"SIMPLEX TRADING, LLC",SIMB,C2,,
19365,153585,Y,"SIMPLEX TRADING, LLC",SIMB,CBOE,,
19366,153585,Y,"SIMPLEX TRADING, LLC",SIMB,EDGXOP,,
19375,153585,Y,"SIMPLEX TRADING, LLC",SIMC,BZXOP,,
19376,153585,Y,"SIMPLEX TRADING, LLC",SIMC,C2,,
19377,153585,Y,"SIMPLEX TRADING, LLC",SIMC,CBOE,,
19378,153585,Y,"SIMPLEX TRADING, LLC",SIMC,EDGXOP,,
19382,153585,Y,"SIMPLEX TRADING, LLC",SIMD,BZXOP,,
19383,153585,Y,"SIMPLEX TRADING, LLC",SIMD,C2,,
19384,153585,Y,"SIMPLEX TRADING, LLC",SIMD,CBOE,,
19385,153585,Y,"SIMPLEX TRADING, LLC",SIMD,EDGXOP,,
19388,153585,Y,"SIMPLEX TRADING, LLC",SIME,BZXOP,,
19389,153585,Y,"SIMPLEX TRADING, LLC",SIME,C2,,
19390,153585,Y,"SIMPLEX TRADING, LLC",SIME,CBOE,,
19391,153585,Y,"SIMPLEX TRADING, LLC",SIME,EDGXOP,,
19392,153585,Y,"SIMPLEX TRADING, LLC",SIMF,BZXOP,,
19393,153585,Y,"SIMPLEX TRADING, LLC",SIMF,C2,,
19394,153585,Y,"SIMPLEX TRADING, LLC",SIMF,CBOE,,
19395,153585,Y,"SIMPLEX TRADING, LLC",SIMF,EDGXOP,,
19397,153585,Y,"SIMPLEX TRADING, LLC",SIMG,BZXOP,,
19398,153585,Y,"SIMPLEX TRADING, LLC",SIMG,C2,,
19399,153585,Y,"SIMPLEX TRADING, LLC",SIMG,CBOE,,
19400,153585,Y,"SIMPLEX TRADING, LLC",SIMG,EDGXOP,,
19404,153585,Y,"SIMPLEX TRADING, LLC",SIMK,C2,,
19405,153585,Y,"SIMPLEX TRADING, LLC",SIML,C2,,
19406,153585,Y,"SIMPLEX TRADING, LLC",SIMN,BZXOP,,
19407,153585,Y,"SIMPLEX TRADING, LLC",SIMN,C2,,
19408,153585,Y,"SIMPLEX TRADING, LLC",SIMN,CBOE,,
19409,153585,Y,"SIMPLEX TRADING, LLC",SIMN,EDGXOP,,
19413,153585,Y,"SIMPLEX TRADING, LLC",SIMP,BZXOP,,
19414,153585,Y,"SIMPLEX TRADING, LLC",SIMP,C2,,
19415,153585,Y,"SIMPLEX TRADING, LLC",SIMP,CBOE,,
19416,153585,Y,"SIMPLEX TRADING, LLC",SIMP,EDGXOP,,
19426,153585,Y,"SIMPLEX TRADING, LLC",SIMT,BZXOP,,
19427,153585,Y,"SIMPLEX TRADING, LLC",SIMV,BZXOP,,
19444,153585,Y,"SIMPLEX TRADING, LLC",SMAM,C2,,
19445,153585,Y,"SIMPLEX TRADING, LLC",SMEM,C2,,
19446,153585,Y,"SIMPLEX TRADING, LLC",SMPA,BZXOP,,
19447,153585,Y,"SIMPLEX TRADING, LLC",SMPA,C2,,
19448,153585,Y,"SIMPLEX TRADING, LLC",SMPA,CBOE,,
19449,153585,Y,"SIMPLEX TRADING, LLC",SMPA,EDGXOP,,
19455,153585,Y,"SIMPLEX TRADING, LLC",SMPB,BZXOP,,
19456,153585,Y,"SIMPLEX TRADING, LLC",SMPB,C2,,
19457,153585,Y,"SIMPLEX TRADING, LLC",SMPB,CBOE,,
19458,153585,Y,"SIMPLEX TRADING, LLC",SMPB,EDGXOP,,
19460,153585,Y,"SIMPLEX TRADING, LLC",SMPC,BZXOP,,
19461,153585,Y,"SIMPLEX TRADING, LLC",SMPC,C2,,
19462,153585,Y,"SIMPLEX TRADING, LLC",SMPC,CBOE,,
19463,153585,Y,"SIMPLEX TRADING, LLC",SMPC,EDGXOP,,
19465,153585,Y,"SIMPLEX TRADING, LLC",SMPD,CBOE,,
19466,153585,Y,"SIMPLEX TRADING, LLC",SMPD,EDGXOP,,
19479,153585,Y,"SIMPLEX TRADING, LLC",SMXG,EDGXOP,,
19480,153585,Y,"SIMPLEX TRADING, LLC",SMXH,EDGXOP,,
19481,153585,Y,"SIMPLEX TRADING, LLC",SMXJ,CBOE,,
19482,153585,Y,"SIMPLEX TRADING, LLC",SMXJ,EDGXOP,,
19483,153585,Y,"SIMPLEX TRADING, LLC",SMXL,CBOE,,
19484,153585,Y,"SIMPLEX TRADING, LLC",SMXL,EDGXOP,,
19485,153585,Y,"SIMPLEX TRADING, LLC",SMXV,CBOE,,
19496,153585,Y,"SIMPLEX TRADING, LLC",SPLX,BZXOP,,Y
19500,153585,Y,"SIMPLEX TRADING, LLC",SSMP,CBOE,,
19501,153585,Y,"SIMPLEX TRADING, LLC",SVIX,CBOE,,
19502,153585,Y,"SIMPLEX TRADING, LLC",SVXA,CBOE,,
