CRDID,FINRAMember,firmName,IMID,exchangeID,ATSFlag,defaultIMIDFlag
153585,Y,"SIMPLEX TRADING, LLC",112,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112,NOBO,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112A,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112A,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112A,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112A,NOBO,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112A,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112B,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112B,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112G,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112G,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112G,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112G,NOBO,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112H,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112H,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112H,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112H,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112M,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112Q,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",112T,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",12,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",123,BOX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",13,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",14,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",15,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",16,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",17,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",18,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",19,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",20,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",21,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",22,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",220,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",23,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",232,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",24,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",246,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",246,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",246,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",246,NOBO,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",246,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",246A,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",246A,NOBO,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",246A,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",246B,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",246B,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",246H,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",246H,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",246H,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",246H,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",246M,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",246Q,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",246Q,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",25,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",26,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",2SME,SPHR,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",2SX4,EMLD,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",2SX5,EMLD,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",30,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",31,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",318,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",318,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",318,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",318,NOBO,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",318,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",318,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",32,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",33,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",3SME,SPHR,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",45,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",46,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",47,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",473,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",473,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",473,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",473,NOBO,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",473,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",473,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",473A,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",473A,NOBO,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",473A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",473A,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",473B,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",473B,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",473H,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",473H,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",473H,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",473H,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",473M,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",473Q,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",473T,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",48,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",51,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",5108,EMLD,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",5115,EMLD,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",5163,MIAMI,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",5169,MIAMI,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",52,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",526,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",526,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",526,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",526,NOBO,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",526,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",526,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",526A,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",526A,NOBO,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",526A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",526A,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",526B,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",526B,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",526H,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",526H,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",526H,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",526H,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",526M,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",526Q,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",526Q,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",526Q,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",526T,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",53,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",58,MIAMI,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",59,MIAMI,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",60,MIAMI,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",61,MIAMI,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",62,MIAMI,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",622,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",622,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",622,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",622,NOBO,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",622,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",622,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",622A,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",622A,NOBO,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",622A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",622A,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",622B,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",622B,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",622H,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",622H,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",622H,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",622H,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",622M,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",622Q,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",622T,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",63,MIAMI,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",63,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",64,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",65,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",66,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",679,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",679,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",679,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",679,NOBO,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",679,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",679,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",679A,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",679A,NOBO,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",679A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",679A,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",679B,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",679B,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",679H,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",679H,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",679H,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",679H,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",679M,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",679Q,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",679T,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",7,PEARL,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758,NOBO,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758A,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758A,NOBO,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758A,NOM,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758A,PHLX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758B,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758B,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758H,GEMX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758H,ISE,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758H,MRX,blank,blank
153585,Y,"SIMPLEX TRADING, LLC",758H,PHLX,blank,blank
