orig_vendor_name,matched_vendor_name
Anova Technologies,Anova
Axion,Axion
Bank of America Securities,Bank of America Securities
Barclays Capital,Barclays
Barnes and Thornburg (Holdings),Barnes & Thornburg (Holdings)
Barnes and Thornburg (Investments),Barnes & Thornburg (Investments)
Barnes and Thornburg (Trading),Barnes & Thornburg (Trading)
Bats,CBOE
Baycrest,Baycrest (IDB)
BGC,BGC
Bloomberg,Bloomberg
Bloomberg N.Miczek,Bloomberg N.Miczek
BMO,BMO
BNP Paribus,BNP Paribas
BofAS Concentration Account,BofAS Concentration Account
Bridgeview,BridgeView (IDB)
Canaccord,Canaccord
Cantor Fitzgerald,Cantor Fitzgerald
CDW Direct,CDW Direct
Churchill Capital,Churchill Capital
CIBC World Markets,CIBC World Markets
Citigroup Global Markets Inc.,Citigroup Global Markets
Cloud9 Technologies LLC,Cloud9
CME (Holdings),CME (Holdings)
CME (Tech) Auto,CME (Tech) Auto
CME (Trading - Auto),CME (Trading - Auto)
CME (Trading ),CME (Trading )
Cogent,Cogent
ComEd,ComEd
Conduent,Conduent
Cowen,Cowen
Crafty,Crafty
Credit Suisse,Credit Suisse
Credit Suisse (IDB),Credit Suisse
Crown Castle,Crown Castle
DASH,Dash
De Paola,De Paola
Dealerweb,Dealerweb
Dow Jones,Dow Jones
Dynamex Trading,Dynamex
Elix  Derivatives,Elix Derivatives (IDB)
Equinix,Equinix
Evercore ISI,Evercore
FactSet,FactSet
Federal Reserve Bank of Chicago,Federal Reserve Bank of Chicago
Fitness Formulas Club,FFC
Fog Equities,FOG Equities
Forte,Forte
GFI,GFI
Global Relay,Global Relay
Goldman Sachs,Goldman Sachs
Good game operations LLC,Good Game Operations
GTT Americas ,GTT
GuavaTech,GuavaTech
Guggenheim,Guggenheim
Hamilton,Hamilton
Hudson Fiber,Hudson Fiber
ICAP,ICAP
Instinet,Instinet
Intelligent Cross,Intelligent Cross
Interactive Brokers,Interactive Brokers
INTL FCStone,StoneX (FL)
Investors Exchange LLC,Investors Exchange
Jefferies,Jefferies
Jones Trading,Jones Trading
JP Morgan (ECS),JP Morgan Securities
Katten Muchin Rosenman LLP,Katten Muchin Rosenman
Lakeshore Securities,Lakeshore Securities
Lazare Printing Co.,Lazare Printing Co.
Level,Level
Libucki,Libucki
Macro Risk Advisors,Macro Risk Advisors
Magen,Magen (IDB)
Marex,Marex
Market Securities,Market Securities
Matrix Executions (Brian Schaer),Matrix Executions (Schaer)
Matrix Executions (Consolidator),Matrix Executions (Consolidator-WS)
Matrix Executions (HT),Matrix Executions (HT)
Maxim,Maxim
Mayer Brown,Mayer Brown
Memx LLC,MEMX
Mizuho,Mizuho
MKM Partners,MKM Partners
Nasdaq Stock Market,Nasdaq
Nova,Nova
NYSE Market Data,NYSE Market Data
NYSE Tech Connectivity,NYSE Tech Connectivity
OCC,OCC
Oppenheimer,Oppenheimer
OPRA,OPRA
Oscar Gruss,Oscar Gruss
Penserra,Penserra
Piper Sandler,Piper Sandler (IDB)
PUMA Capital,Puma Capital
Raymond James,Raymond James
Refinitiv,Refinitiv
Reputation Partners,Reputation Partners
RosenBlatt Secutities,Rosenblatt Securities
RQD Clearing LLC,RQD Clearing
RSM (Trading),RSM (Trading)
Sanford Bernstein,Sanford Bernstein
Seaport Global,Seaport Global
Smarsh,Smarsh
Societe Generale (Options),SocGen (Options)
Sodexo,Sodexo
Sreptoe & Johnson ,Steptoe 
SRT Securities,SRT Securities (Stock)
SRT Securities (IX),SRT Securities (IX)
Stifel,Stifel
Sunrise Brokers,Sunrise
SVB Leerink,Leerink (IDB)
